Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-12-2015,1,,0.50,,,,,,1.30,1.60,,0.70,1.10,,1.00,,1.00,,,1.20,,0.30,,,,,1.90,1.70,,1.70,0.60,,,1.20,,,,,,,,1.00,,,0.90,1.00,,,2.60,
01-12-2015,2,,0.50,,,,,,1.10,1.50,,0.70,1.00,,1.00,,0.90,,,1.20,,0.30,,,,,1.30,1.90,,1.80,0.90,,,1.50,,,,,,,,0.90,,,0.80,0.90,,,1.90,
01-12-2015,3,,0.50,,,,,,0.70,1.40,,0.50,0.80,,0.90,,0.80,,,0.90,,0.30,,,,,1.40,1.50,,1.20,1.00,,,1.20,,,,,,,,0.70,,,0.60,0.80,,,1.40,
01-12-2015,4,,0.50,,,,,,0.70,1.40,,0.50,0.70,,0.70,,0.60,,,0.90,,0.30,,,,,0.90,1.40,,1.10,0.40,,,1.10,,,,,,,,0.60,,,0.60,0.70,,,1.50,
01-12-2015,5,,0.60,,,,,,1.20,1.30,,0.50,0.80,,0.60,,0.70,,,0.80,,0.30,,,,,1.30,1.60,,1.20,0.60,,,0.90,,,,,,,,0.70,,,0.50,0.90,,,1.60,
01-12-2015,6,,0.50,,,,,,1.10,1.20,,0.80,1.20,,0.70,,0.80,,,0.80,,0.30,,,,,1.90,1.90,,1.70,0.90,,,1.50,,,,,,,,0.90,,,0.50,1.00,,,2.20,
01-12-2015,7,,0.60,,,,,,2.80,1.10,,1.40,2.30,,1.00,,1.90,,,1.40,,0.20,,,,,2.40,2.10,,2.00,1.70,,,2.70,,,,,,,,1.90,,,0.90,1.70,,,3.30,
01-12-2015,8,,0.60,,,,,,3.30,1.20,,2.60,4.00,,1.80,,3.70,,,2.40,,0.10,,,,,3.50,2.50,,2.00,2.00,,,2.90,,,,,,,,2.30,,,1.30,3.80,,,4.70,
01-12-2015,9,,1.20,,,,,,3.80,1.70,,2.00,2.60,,2.50,,3.30,,,3.00,,0.10,,,,,2.40,3.20,,2.70,2.00,,,1.90,,,,,,,,2.90,,,1.40,3.70,,,4.80,
01-12-2015,10,,1.80,,,,,,3.10,2.00,,1.10,1.70,,1.90,,3.20,,,2.80,,0.10,,,,,2.00,2.20,,2.30,2.00,,,1.50,,,,,,,,2.20,,,1.40,3.70,,,3.50,
01-12-2015,11,,1.60,,,,,,2.20,2.00,,0.60,1.00,,1.30,,2.90,,,2.50,,0.20,,,,,2.10,2.50,,2.60,1.70,,,1.30,,,,,,,,2.70,,,1.00,2.20,,,2.30,
01-12-2015,12,,1.20,,,,,,2.10,,,0.90,1.10,,2.60,,2.20,,,2.10,,0.40,,,,,2.00,2.10,,2.30,1.40,,,1.40,,,,,,,,2.50,,,0.70,1.70,,,1.90,
01-12-2015,13,,1.00,,,,,,1.40,,,0.40,1.00,,0.90,,1.40,,,1.00,,0.50,1.10,,,,0.90,1.10,,0.80,1.20,,,1.10,,,,,,,,1.30,,,1.20,1.30,,,1.80,
01-12-2015,14,,0.80,,,,,,1.00,,,0.30,0.70,,1.10,,1.30,,,0.90,,0.50,1.00,,,,0.70,1.00,,0.70,1.10,,,0.50,,,,,,,,1.10,,,1.10,0.90,,,0.90,
01-12-2015,15,,0.70,,,,,,0.90,,,0.30,0.60,,1.10,,1.30,,,0.90,,0.30,0.90,,,,0.70,1.10,,0.80,1.00,,,0.40,,,,,,,,1.30,,,0.50,0.90,,,0.70,
01-12-2015,16,,0.70,,,,,,0.90,0.60,,0.30,0.50,,1.00,,1.10,,,0.90,,0.10,0.80,,,,0.70,1.10,,0.80,0.60,,,0.30,,,,,,,,1.00,,,0.30,0.90,,,0.70,
01-12-2015,17,,0.60,,,,,,1.00,0.50,,0.50,0.40,,0.90,,1.00,,,0.70,,0.20,1.10,,,,0.80,0.80,,0.70,0.60,,,0.40,,,,,,,,1.00,,,0.30,0.80,,,0.90,
01-12-2015,18,,0.50,,,,,,1.10,0.70,,0.40,0.60,,0.90,,1.90,,,0.90,,0.20,0.90,,,,0.70,1.40,,0.60,0.80,,,0.70,,,,,,,,1.30,,,0.40,0.50,,,1.00,
01-12-2015,19,,0.50,,,,,,1.30,1.00,,0.50,0.60,,0.80,,3.00,,,1.20,,0.20,1.40,,,,1.00,1.40,,0.80,0.80,,,1.00,,,,,,,,1.40,,,0.60,0.80,,,1.00,
01-12-2015,20,,0.40,,,,,,2.20,1.20,,0.50,0.80,,0.70,,3.00,,,1.40,,0.30,1.70,,,,1.30,2.00,,1.10,1.00,,,1.00,,,,,,,,2.00,,,1.00,1.40,,,1.40,
01-12-2015,21,,0.50,,,,,,2.50,1.40,,0.60,0.90,,0.80,,2.60,,,2.00,,0.40,2.20,,,,1.80,1.40,,1.20,1.40,,,1.20,,,,,,,,3.10,,,1.30,2.30,,,2.30,
01-12-2015,22,,0.70,,,,,,3.20,1.50,,1.40,0.80,,0.70,,2.10,,,2.30,,,3.20,,,,2.40,1.50,,1.30,1.30,,,1.90,,,,,,,,2.40,,,1.10,2.40,,,3.70,
01-12-2015,23,,0.60,,,,,,3.10,1.50,,1.50,0.80,,0.90,,1.80,,,2.20,,,2.00,,,,3.10,2.30,,1.80,0.90,,,2.60,,,,,,,,1.50,,,1.20,1.80,,,3.60,
01-12-2015,24,,0.50,,,,,,2.50,1.70,,0.70,1.00,,0.90,,1.30,,,2.10,,,1.90,,,,2.70,1.20,,1.40,0.80,,,1.30,,,,,,,,1.40,,,1.10,1.60,,,2.70,
02-12-2015,1,,0.50,,,,,,2.40,1.30,,1.00,0.70,,0.90,,0.90,,,2.00,,,1.50,,,,2.80,0.90,,1.70,0.50,,,1.40,,,,,,,,1.20,,,0.90,1.20,,,2.20,
02-12-2015,2,,0.50,,,,,,1.60,1.70,,0.60,1.00,,0.70,,0.90,,,1.80,,,1.20,,,,1.90,1.10,,2.00,0.40,,,1.10,,,,,,,,1.40,,,0.80,1.00,,,2.20,
02-12-2015,3,,0.40,,,,,,1.20,1.70,,0.50,0.80,,0.60,,0.50,,,1.20,,,1.00,,,,1.50,1.20,,1.50,0.30,,,0.80,,,,,,,,1.00,,,0.70,0.90,,,1.40,
02-12-2015,4,,0.40,,,,,,1.00,1.30,,0.40,0.90,,0.60,,0.60,,,1.10,,,1.00,,,,1.70,1.50,,1.20,0.40,,,0.70,,,,,,,,0.70,,,0.60,1.20,,,1.40,
02-12-2015,5,,0.40,,,,,,1.10,1.30,,0.40,1.00,,0.60,,0.70,,,0.90,,,1.00,,,,1.60,1.50,,1.10,0.40,,,0.60,,,,,,,,0.90,,,0.50,0.90,,,1.40,
02-12-2015,6,,0.40,,,,,,2.00,1.10,,0.60,1.40,,0.80,,0.90,,,1.20,,,1.80,,,,1.70,1.80,,1.40,0.40,,,1.40,,,,,,,,1.40,,,0.50,1.10,,,2.50,
02-12-2015,7,,0.50,,,,,,3.60,1.30,,1.20,2.50,,1.30,,2.10,,,2.20,,,2.30,,,,2.10,2.80,,2.80,1.00,,,2.00,,,,,,,,1.90,,,1.30,2.40,,,3.30,
02-12-2015,8,,0.60,,,,,,5.20,2.20,,2.10,4.10,,2.50,,2.90,,,3.00,,,2.90,,,,3.50,2.50,,3.30,1.90,,,3.00,,,,,,,,3.30,,,1.50,3.80,,,3.20,
02-12-2015,9,,0.80,,,,,,3.30,2.50,,2.90,3.40,,1.00,,3.10,,,3.50,,0.20,3.00,,,,3.70,2.30,,3.00,2.40,,,3.20,,,,,,,,3.90,,,1.80,,,,3.10,
02-12-2015,10,,1.40,,,,,,3.20,1.90,,1.70,1.80,,1.00,,2.30,,,3.70,,0.20,4.00,,,,2.30,2.40,,2.70,2.20,,,1.80,,,,,,,,2.70,,,1.00,3.40,,,2.20,
02-12-2015,11,,0.90,,,,,,3.00,1.50,,1.10,1.30,,0.80,,1.20,,,2.70,,0.20,3.30,,,,1.90,2.50,,2.10,1.20,,,1.40,,,,,,,,1.90,,,0.70,2.50,,,1.80,
02-12-2015,12,,0.80,,,,,,,1.10,,0.60,0.80,,1.10,,,,,1.50,,0.40,1.50,,,,1.20,1.80,,1.40,1.00,,,1.10,,,,,,,,1.30,,,0.70,1.60,,,1.90,
02-12-2015,13,,0.90,,,,,,,1.30,,0.40,0.80,,1.40,,,,,1.00,,0.20,0.90,,,,0.70,1.40,,0.70,1.20,,,0.70,,,,,,,,0.90,,,1.10,0.90,,,1.10,
