,HGM,MER,CAM
Enero,1.0150729335494326,1.2073305670816046,1.030570652173913
Febrero,0.9004518072289158,1.1926829268292682,0.8766956521739129
Marzo,0.7506906077348067,1.0160935350756533,0.80960219478738
Abril,0.8207865168539326,1.047325769854133,0.8902266288951841
Mayo,0.926639344262295,1.1916083916083917,0.9523415977961434
Junio,0.7425925925925926,0.9713656387665198,0.8489361702127659
Julio,0.8491803278688523,1.0115839243498819,0.8787735849056604
Agosto,0.694560669456067,0.73271719038817,0.78646408839779
Septiembre,0.7929133858267716,0.9632237871674492,0.9063706563706565
Octubre,0.7979651162790697,0.9624713958810069,0.9633193863319387
Noviembre,0.7625000000000001,0.9611428571428572,0.9445603576751117
Diciembre,1.195810055865922,1.3165730337078654,1.2746192893401016
