,HGM,MER,CAM
Enero,1.0281379310344827,1.2024216524216524,1.1731404958677687
Febrero,0.695864106351551,1.0062271062271064,0.9873282442748093
Marzo,0.6723374827109267,0.842406015037594,0.7974789915966386
Abril,0.8213549337260678,1.111706349206349,0.9990014265335236
Mayo,0.6274373259052924,0.994083694083694,0.9383125864453666
Junio,0.49391304347826087,0.8057720057720059,0.6978571428571428
Julio,0.5160839160839161,0.7762738853503185,0.7768136557610242
Agosto,0.42033660589060307,0.7765527950310559,0.7798780487804879
Septiembre,0.32051282051282054,0.7594268476621419,0.7027881040892193
Octubre,0.3550786838340486,0.6732115677321157,0.6267313019390581
Noviembre,0.7867088607594938,0.8872563718140929,0.8526618705035972
Diciembre,0.8061781609195403,0.9233564013840831,0.8822377622377623
