,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,3.0,3.0,4.0,6.224489795918367,6.145228215767635,6.824010914051842,7.989089902544894,8.134750789780492,8.149080323576355
Febrero,3.0,3.0,3.0,5.1656626506024095,5.548780487804878,5.883071553228621,6.700642357765961,6.976781451826479,8.248030681895319
Marzo,2.0,2.0,2.0,3.5497237569060776,3.8104395604395602,4.383241758241758,4.2281428757883015,4.559833103943535,5.953750629683332
Abril,2.0,2.0,3.0,4.764044943820225,5.046176046176046,5.907932011331445,7.093345820093246,7.774878246218999,8.248706374463122
Mayo,2.0,2.0,2.0,2.72640218878249,3.1666666666666665,3.6349862258953167,3.8490846515062453,3.823813819625928,5.077913140442536
Junio,3.0,3.0,3.0,5.902017291066282,5.545454545454546,6.868537666174299,8.155181178345988,7.132178832812396,9.484283156909028
Julio,3.0,3.0,3.0,3.776566757493188,3.8193103448275862,4.240384615384615,3.37985302606519,3.154259081376811,4.63093668088611
Agosto,3.0,3.0,2.0,4.055401662049862,4.1455525606469,3.8474341192787795,4.54226322966842,3.919507746852316,5.445081592226229
Septiembre,3.0,2.0,3.0,4.481188118811882,3.2281553398058254,4.87984496124031,6.301308645754857,4.494698857930346,6.710454152095267
Octubre,3.0,2.0,3.0,4.763380281690141,3.8645980253878705,4.7395543175487465,6.37544742613337,4.773544297059031,6.139055376590949
Noviembre,5.0,5.0,5.0,11.757489300998573,10.235714285714286,11.470938897168406,14.964852783447036,15.571704426463599,18.27636853231781
Diciembre,5.0,6.0,6.0,10.644444444444444,10.23463687150838,12.648373983739837,13.959955534407674,13.497815467157483,17.886731687672178
