,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,2.0,4.0,4.0,7.018207282913165,7.574047954866009,5.805882352941176,11.83955166372136,11.551002260569676,6.829536495507855
Febrero,1.0,2.0,,2.9353846153846153,3.445482866043614,,5.159891267748417,4.827862435355192,
Marzo,2.0,3.0,,5.391618497109826,7.0515320334261835,,8.947254297303306,9.686515474047336,
Abril,1.0,2.0,1.0,3.0865800865800868,3.8838709677419354,3.8211624441132637,11.034680301515532,8.451507848798787,11.088553967694256
Mayo,1.0,1.0,1.0,2.4572230014025247,3.407932011331445,2.9270216962524653,7.163906224247165,7.814744708964777,8.035777188624635
Junio,2.0,2.0,,2.8992805755395685,2.353956834532374,,3.9468642279465413,2.8327354166065652,
Julio,1.0,1.0,,2.1863699582753826,2.0407303370786516,,3.344022735856669,3.0504014677153743,
Agosto,2.0,1.0,,3.0121951219512195,1.967966573816156,,5.120173551998834,2.530776594058541,
Septiembre,1.0,1.0,0.0,3.991404011461318,2.5272988505747125,2.3904761904761904,7.591013707999831,4.532453926139152,6.266546003824397
Octubre,2.0,1.0,1.0,3.332865168539326,2.226628895184136,2.258692628650904,4.76126408227057,3.2992024346255358,3.5884919689919053
Noviembre,4.0,3.0,3.0,7.624082232011747,5.3314121037463975,6.661406025824964,9.444712577088632,6.881786323032022,9.23870013606671
Diciembre,3.0,4.0,4.0,6.42008486562942,6.349325337331335,6.977559607293127,7.8518717924037515,7.275530505656714,9.656723290551316
