,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,2.0,4.0,4.0,5.98041958041958,7.2444444444444445,7.7354925775978405,10.103922600878633,11.759349712950002,11.988854990365526
Febrero,2.0,3.0,3.0,4.421138211382114,5.0928792569659445,6.104895104895105,7.063454277088138,5.93510476708299,9.28981762725441
Marzo,2.0,2.0,2.0,4.116809116809117,4.191549295774648,4.879729729729729,8.379924864280508,7.544877421892869,8.09970813770655
Abril,1.0,2.0,2.0,3.685589519650655,4.212922173274596,5.042483660130719,7.916297480279202,7.819294225417021,11.464803852351393
Mayo,2.0,3.0,3.0,6.236619718309859,6.65406162464986,7.440579710144927,15.050935985182981,13.411993189685873,15.585154624070672
Junio,2.0,3.0,2.0,4.068554396423249,4.1225997045790255,4.870738636363637,8.788632965350672,7.236579521594908,9.611458697159897
Julio,2.0,2.0,3.0,3.346206896551724,3.2134831460674156,4.3707533234859675,4.392689505272525,4.164269447413061,6.060340192450608
Agosto,2.0,2.0,2.0,3.7012987012987013,3.605890603085554,3.8903703703703703,6.27376048038757,4.018611067891716,6.744146534135971
Septiembre,1.0,2.0,2.0,1.6330014224751066,2.0057061340941513,2.9592696629213484,2.863791632974018,1.9522796840996,2.892304844576176
Octubre,1.0,3.0,3.0,3.4297407912687587,5.78585086042065,5.788753799392097,5.738094308987895,8.025106114809946,9.1616330536767
Noviembre,3.0,3.0,4.0,5.945558739255015,7.652091254752852,8.8431654676259,8.355612314361391,10.91328004463411,12.584349701138112
Diciembre,3.0,4.0,4.0,5.403292181069959,6.625170998632011,7.6988304093567255,7.390169452135127,7.9597701534263505,11.873784691719449
