,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,4.0,3.0,,8.06276150627615,7.0739191073919105,,11.107283818105412,9.997281913233474
Febrero,2.0,4.0,3.0,5.737881508078995,7.922165820642978,6.884036144578313,8.615667790435229,9.405950120756106,10.293730668499865
Marzo,2.0,3.0,3.0,5.702664796633941,3.9507042253521125,6.552155771905424,8.206513319699997,5.039935669083601,7.998066806686788
Abril,1.0,2.0,2.0,2.2204610951008648,3.212338593974175,2.6594827586206895,4.502247226676342,3.8882696207709273,3.9820275038513895
Mayo,1.0,1.0,1.0,1.2066574202496532,1.8959778085991679,1.5652777777777778,2.265136752182354,1.9504979192093979,2.439513604489101
Junio,1.0,1.0,1.0,2.3577586206896552,2.2888563049853374,3.254335260115607,4.311590219488499,3.170647156183269,5.946607223749108
Julio,0.0,1.0,1.0,0.8755186721991701,1.0928270042194093,1.2406119610570236,1.6285186411823989,1.110686513829235,1.0812237281572539
Agosto,1.0,1.0,1.0,1.2218045112781954,1.661991584852735,1.6295774647887324,1.484401326289156,1.666566464569584,1.587850057243106
Septiembre,,1.0,1.0,,2.0107142857142857,2.9410071942446043,,2.6669432410455127,6.839934157013682
Octubre,,3.0,2.0,,6.6232492997198875,6.544943820224719,,8.726131867301369,10.952432748901145
Noviembre,,4.0,2.0,,5.812589413447783,5.0830903790087465,,5.777692653393719,7.711235886858125
Diciembre,,4.0,2.0,,6.907303370786517,5.6842837273991655,,7.231152524938173,8.510302817615855
