,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,3.0,,,5.877914951989026,,,9.538681690561637,
Febrero,,3.0,,,7.6873015873015875,,,13.784244733821055,
Marzo,,3.0,,,4.841958041958042,,,7.32720089197794,
Abril,,2.0,,,3.1177325581395348,,,4.493155665588727,
Mayo,,3.0,,,5.23873121869783,,,8.982039067619956,
Junio,,2.0,,,3.645658263305322,,,4.757123770166083,
Julio,,2.0,4.0,,2.6015325670498086,4.965706447187928,,2.271883883462232,4.2688081985123665
Agosto,,2.0,2.0,,3.0613409415121255,4.246056782334385,,3.73216948388601,6.316008791072362
Septiembre,,2.0,2.0,,4.726207906295754,5.596072931276297,,8.878934911297504,11.98041877376052
Octubre,,3.0,3.0,,7.569083447332422,7.865753424657535,,12.394721660819632,14.524131749150763
Noviembre,,5.0,4.0,,8.472992700729927,8.576056338028168,,11.205336967577734,13.951932036702484
Diciembre,,7.0,6.0,,11.097260273972603,11.8283378746594,,12.234006357314852,19.43107490580039
