,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,6.0,5.0,9.0,14.230985915492958,13.264788732394367,19.032846715328468,20.470492655245536,21.616161081769118,25.621824590666616
Febrero,3.0,3.0,2.0,8.897674418604652,8.264566929133858,7.993993993993994,18.01255801201118,16.99849467986958,19.08816016829517
Marzo,3.0,2.0,3.0,8.597765363128492,7.626609442060086,9.173913043478262,15.882970447752184,15.879269841335613,19.13652130865247
Abril,3.0,3.0,2.0,5.436046511627907,5.058737151248164,5.232638888888889,12.168467258030878,11.374872366055111,8.615967106439586
Mayo,3.0,3.0,4.0,5.084033613445378,5.082036775106082,7.4677661169415295,7.611624495855613,7.720988086732998,10.258817124116085
Junio,3.0,3.0,3.0,5.514367816091954,4.841949778434269,6.788135593220339,7.033307839709121,6.798025364432103,9.64109986998093
Julio,3.0,3.0,2.0,4.287729196050776,4.062767475035663,3.860248447204969,4.946508105222938,4.519993399347018,5.119022305357763
Agosto,2.0,2.0,2.0,3.232819074333801,2.867132867132867,3.3734610123119015,3.8550550560891286,2.5105875589760234,4.005312421525421
Septiembre,2.0,3.0,3.0,3.0206677265500796,3.5406976744186047,4.198288159771755,3.9881854420663876,3.996880236280267,4.604568840648806
Octubre,3.0,4.0,4.0,6.061971830985915,6.068376068376068,7.979619565217392,7.278780067138863,6.872044087541187,10.293164913509601
Noviembre,3.0,3.0,4.0,8.549927641099856,7.42463768115942,10.113314447592067,16.5251248102626,13.95662891952842,20.198200005617824
Diciembre,4.0,4.0,5.0,9.38396624472574,8.883916083916084,10.811397557666215,16.266970649321934,13.884747946547922,16.37513625318834
