,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,4.0,5.0,3.0,10.238826815642458,10.321533923303836,8.385454545454545,15.713081299872373,15.13220447967356,16.30381508107056
Febrero,3.0,4.0,4.0,6.5363924050632916,7.702127659574468,6.713629402756508,9.64202066783348,10.454972451071484,9.4433610836237
Marzo,2.0,2.0,2.0,4.379113018597997,4.718696397941681,5.363120567375886,8.692332280399885,9.621520320641622,11.885165573216572
Abril,1.0,2.0,1.0,3.0335276967930027,4.138528138528138,1.6120689655172413,5.755889254826774,9.00808093369225,1.9104250415493962
Mayo,2.0,3.0,3.0,6.098611111111111,6.344444444444444,8.812693498452012,11.851303961114823,11.238381593067643,13.908802405733038
Junio,1.0,2.0,1.0,4.183284457478006,4.684671532846715,1.7168367346938775,9.57803482022016,8.93494102539752,2.8766494779170717
Julio,1.0,3.0,2.0,4.0227272727272725,5.247222222222222,4.892806770098731,6.406304278944197,6.627795229398949,8.821988235820111
Agosto,1.0,3.0,2.0,2.678370786516854,4.037974683544304,3.2580195258019526,5.930842281576404,8.177603792043232,7.580597327966987
Septiembre,2.0,2.0,3.0,4.862385321100917,4.156666666666666,4.48766328011611,8.340637169030053,5.91696484783991,6.131806272667515
Octubre,1.0,1.0,1.0,1.1314553990610328,2.1092198581560284,2.0251046025104604,1.691282158395984,2.487637065354043,3.0882328663673504
Noviembre,1.0,2.0,2.0,3.0919540229885056,3.942982456140351,3.0664893617021276,4.845247607474688,5.64607383971362,4.64279736536999
Diciembre,3.0,4.5,5.0,9.562237762237762,10.80225988700565,12.54953560371517,14.071644433335996,14.445934730794198,17.609190467800858
