,HGM,MER,CAM
Enero,,0.625255878284924,0.6187325905292479
Febrero,,0.5631192660550458,0.5200462249614792
Marzo,,0.4233196159122085,0.41569252077562324
Abril,,0.45076056338028164,0.42368650217706816
Mayo,,0.3323465211459754,0.30800557880055784
Junio,,0.4568214804063861,0.37007246376811587
Julio,,0.4677023121387283,0.4555833333333333
Agosto,,0.4105241379310345,0.36646846846846853
Septiembre,,0.3809232954545454,0.38726752503576545
Octubre,,0.4761189801699717,0.40958100558659216
Noviembre,,0.4469186875891583,0.419698275862069
Diciembre,,0.8396493688639552,0.7209655172413794
