,HGM,MER,CAM
Enero,,0.51,0.5
Febrero,,0.43,0.35
Marzo,,0.35,0.32
Abril,,0.34,0.27
Mayo,,0.27,0.23
Junio,,0.41,0.33
Julio,,0.41,0.39
Agosto,,0.34,0.3
Septiembre,,0.31,0.3
Octubre,,0.38,0.3
Noviembre,,0.38,0.33
Diciembre,,0.69,0.54
